id,id_out,year,count
NHV,PWS,1875,3
NHV,CEN,1875,3
BNA,BLC,1875,6
BNA,CFC,1875,2
BNA,HNA,1875,2
BNA,MAN,1875,1
BNA,NHV,1875,1
BNA,OLY,1875,3
BNA,WBL,1875,1
WES,MAR,1875,1
WES,BRA,1875,2
WES,CNA,1875,1
WES,CNA,1875,6
WES,CFC,1875,1
WES,KEK,1875,3
WES,HNA,1875,3
WES,NNA,1875,2
WES,OLY,1875,1
WES,NAT,1875,1
NNA,BLC,1875,6
NNA,ECK,1875,4
NNA,BRA,1875,5
NNA,CNA,1875,1
NNA,CFC,1875,1
NNA,RES,1875,1
NNA,KEK,1875,6
NNA,HNA,1875,1
NNA,WES,1875,2
NNA,MAN,1875,1
NNA,PNA,1875,2
NNA,PWS,1875,2
NNA,TRO,1875,3
NNA,WBL,1875,1
SNA,BLC,1875,2
SNA,ECK,1875,2
SNA,BRA,1875,14
SNA,CNA,1875,1
SNA,CFC,1875,1
SNA,RES,1875,4
SNA,HNA,1875,1
SNA,NNA,1875,8
SNA,PNA,1875,5
SNA,PWS,1875,1
SNA,TRO,1875,1
CNA,BLC,1875,5
CNA,ECK,1875,4
CNA,CNA,1875,5
CNA,CFC,1875,1
CNA,KEK,1875,1
CNA,HNA,1875,2
CNA,WES,1875,6
CNA,NNA,1875,4
CNA,PWS,1875,10
CNA,ROK,1875,1
CNA,TRO,1875,4
CNA,OLY,1875,5
CNA,NAT,1875,5
CNA,WBL,1875,5
SLR,BLC,1875,1
SLR,BRA,1875,1
SLR,BNA,1875,1
SLR,CFC,1875,1
SLR,OLY,1875,1
CHC,BLC,1876,3
CHC,BNA,1876,47
CHC,CNA,1876,9
CHC,CFC,1876,4
CHC,HNA,1876,1
CHC,PNA,1876,4
CHC,PWS,1876,2
CHC,ROK,1876,2
CHC,OLY,1876,2
CHC,NAT,1876,3
CHC,WBL,1876,3
LGR,BLC,1876,8
LGR,ECK,1876,2
LGR,BRA,1876,7
LGR,CNA,1876,9
LGR,CFC,1876,3
LGR,RES,1876,3
LGR,HNA,1876,2
LGR,WES,1876,1
LGR,NHV,1876,5
LGR,NNA,1876,3
LGR,NYU,1876,1
LGR,PNA,1876,4
LGR,PWS,1876,13
LGR,CEN,1876,3
LGR,ROK,1876,2
LGR,SNA,1876,2
LGR,WBL,1876,2
LGR,WNT,1876,1
HAR,BLC,1876,11
HAR,ECK,1876,1
HAR,BRA,1876,15
HAR,CNA,1876,1
HAR,RES,1876,1
HAR,KEK,1876,1
HAR,HNA,1876,18
HAR,NHV,1876,1
HAR,NNA,1876,15
HAR,PWS,1876,5
HAR,TRO,1876,2
