id,name_full,type
dallasbapt,Dallas Baptist University,college
cwashngton,Central Washington University,college
cumbrlndtn,Cumberland University,college
ctnorwa,Norwalk Community College,college
ctmitch,Mitchell College,college
ctconap,University of Connecticut at Avery Point,college
cshayward,California State University East Bay,college
csdomhills,California State University Dominguez Hills,college
crngmellon,Carnegie Mellon University,college
creighton,Creighton University,college
crdstritch,Cardinal Stritch University,college
cotrini,Trinidad State Junior College,college
cornellia,Cornell College,college
cornell,Cornell University,college
concrdiatx,Concordia University at Austin,college
concrdiamn,Concordia University-St. Paul,college
concordny,Concordia College-Bronxville,college
columbia,Columbia University,college
coloradost,Colorado State University,college
colorado,University of Colorado,college
colgate,Colgate University,college
colbyme,Colby College,college
colamar,Lamar Community College,college
coastcar,Coastal Carolina University,college
cncrdiacol,Concordia College-Moorhead,college
cmissouri,University of Central Missouri,college
cmichigan,Central Michigan University,college
clevst,Cleveland State University,college
clemson,Clemson University,college
clarksonny,Clarkson University,college
clarion,Clarion University of Pennsylvania,college
citadel,The Citadel,college
cincy,University of Cincinnati,college
chicost,California State University Chico,college
chicago,University of Chicago,college
charlsouth,Charleston Southern University,college
charlotte,University of North Carolina at Charlotte,college
charleswv,University of Charleston,college
charleston,College of Charleston,college
chapmanca,Chapman University,college
cflorida,University of Central Florida,college
centreky,Centre College,college
centralst,Central State University,college
centok,University of Central Oklahoma,college
centenary,Centenary College of Louisiana,college
ccri,Community College of Rhode Island,college
cconnst,Central Connecticut State University,college
cawvjco,West Valley College,college
cawlajc,West Los Angeles College,college
cawhjco,West Hills College,college
caventu,Ventura College,college
catholic,Catholic University of America,college
catawba,Catawba College,college
catafjc,Taft College,college
casrjco,Santa Rosa Junior College,college
casmjco,Santa Monica College,college
casjdjc,San Joaquin Delta College,college
casjcco,San Jose City College,college
casiski,College of the Siskiyous,college
casierr,Sierra College,college
cashast,Shasta College,college
casfcco,City College of San Francisco,college
casewestrn,Case Western Reserve University,college
casequo,College of the Sequoias,college
casdmjc,San Diego Mesa College,college
casbvjc,San Bernardino Valley College,college
casbcco,Santa Barbara City College,college
casajco,Santa Ana College,college
casaddl,Saddleback College,college
casacra,Sacramento City College,college
carthagewi,Carthage College,college
carsnewm,Carson-Newman College,college
carkansas,University of Central Arkansas,college
carivcc,Riverside Community College,college
carioho,Rio Hondo College,college
careedl,Reedley College,college
caredwo,College of the Redwoods,college
capierc,Los Angeles Pierce College,college
capasad,Pasadena City College,college
capalom,Palomar College,college
caorang,Orange Coast College,college
camsjjc,Mount San Jacinto College,college
camsajc,Mount San Antonio College,college
campjco,Monterey Peninsula College,college
campbell,Campbell University,college
camoorp,Moorpark College,college
camodes,Modesto Junior College,college
camissi,Mission College,college
camirac,MiraCosta College,college
camerri,Merritt College,college
cameronok,Cameron University,college
camerce,Merced College,college
camenlo,Menlo College,college
camendo,Mendocino College,college
camarin,College of Marin,college
calutheran,California Lutheran University,college
calstnorth,California State University Northridge,college
calstla,California State University Los Angeles,college
calstfull,California State University Fullerton,college
calpolypom,"California Polytechnic State University, Pomona",college
calpoly,"California Polytechnic State University, San Luis Obispo",college
calobcc,Long Beach City College,college
calipa,California University of Pennsylvania,college
california,"University of California, Berkeley",college
calavco,Los Angeles Valley College,college
calasse,Lassen College,college
calaney,Laney College,college
calacco,Los Angeles City College,college
cahartn,Hartnell College,college
caharbo,Los Angeles Harbor College,college
cagolde,Golden West College,college
caglend,Glendale Community College,college
cagavil,Gavilan College,college
cafulle,Fullerton College,college
cafrecc,Fresno City College,college
cafooth,Foothill College,college
cafeath,Feather River College,college
caelcam,El Camino College,college
caelajc,East Los Angeles College,college
cadiabl,Diablo Valley College,college
cadeanz,DeAnza College,college
cacypre,Cypress College,college
cacuest,Cuesta College,college
cacsmat,College of San Mateo,college
cacosum,Cosumnes River College,college
cacontr,Contra Costa College,college
cacompt,Compton Community College,college
cacitru,Citrus College,college
cachaff,Chaffey College,college
cachabo,Chabot College,college
cacerri,Cerritos College,college
cacanyo,College of the Canyons,college
cacanad,Canada College,college
cacabri,Cabrillo College,college
cabutte,Butte College,college
cabarst,Barstow Community College,college
cabakjc,Bakersfield College,college
caantel,Antelope Valley College,college
caameri,American River College,college
byu,Brigham Young University,college
butler,Butler University,college
buenavista,Buena Vista University,college
bucknell,Bucknell University,college
bryant,Bryant College,college
brown,Brown University,college
brklyncuny,"Brooklyn College, The City University of New York",college
bridgwtrst,Bridgewater State College,college
bridgeport,University of Bridgeport,college
brewparker,Brewton-Parker College,college
brdgwatrva,Bridgewater College,college
brandeisma,Brandeis University,college
bradley,Bradley University,college
bowlgreen,Bowling Green State University,college
bowdoinme,Bowdoin College,college
bostonuniv,Boston University,college
bostoncoll,Boston College,college
boisest,Boise State University,college
bloomsburg,Bloomsburg University of Pennsylvania,college
blackbrnil,Blackburn College,college
birmsouth,Birmingham-Southern College,college
biolaca,Biola University,college
bethcook,Bethune-Cookman College,college
bethanywv,Bethany College,college
benedctnks,Benedictine College,college
beloitwi,Beloit College,college
belmontab,Belmont Abbey College,college
belmont,Belmont University,college
baylor,Baylor University,college
batesme,Bates College,college
baruchcuny,Bernard M Baruch College,college
bartonnc,Barton College,college
ballst,Ball State University,college
bakerks,Baker University,college
baconeok,Bacone College,college
azyavap,Yavapai College,college
azweste,Arizona Western College,college
azusapac,Azusa Pacific University,college
azsouth,South Mountain Community College,college
azscott,Scottsdale Community College,college
azpimcc,Pima Community College,college
azphoen,Phoenix College,college
azmescc,Mesa Community College,college
azcochi,Cochise Community College,college
azcentr,Central Arizona College,college
austinpeay,Austin Peay State University,college
austincol,Austin College,college
auburnmont,Auburn University at Montgomery,college
auburn,Auburn University,college
ashland,Ashland University,college
arnorth,North Arkansas College,college
armstratl,Armstrong Atlantic State University,college
arktech,Arkansas Tech University,college
arkmont,University of Arkansas at Monticello,college
arkansasst,Arkansas State University,college
arkansaslr,University of Arkansas at Little Rock,college
arkansas,University of Arkansas,college
arizonast,Arizona State University,college
arizona,University of Arizona,college
arftsmi,University of Arkansas-Fort Smith,college
aquinasmi,Aquinas College,college
appalst,Appalachian State University,college
andersonsc,Anderson College,college
amherstma,Amherst College,college
amerintl,American International University,college
american,American University,college
alverniapa,Alvernia College,college
alsuscc,Southern Union State Community College,college
alnorth,Northwest-Shoals Community College,college
almario,Marion Military Institute,college
almami,Alma College,college
allegheny,Allegheny College,college
aljeffd,Jefferson Davis Community College,college
algadsd,Gadsden State Community College,college
alfscco,Faulkner State College,college
alfaulk,Faulkner University,college
alenter,Enterprise-Ozark Community College,college
alchatt,Chattahoochee Valley Community College,college
alcalho,Calhoun Community College,college
albevil,Bevill State Community College,college
alabama,University of Alabama,college
akron,University of Akron,college
