id,name_full,type
ulamo,University of Louisiana at Monroe,college
ulala,University of Louisiana at Lafayette,college
ucsd,"University of California, San Diego",college
ucsb,"University of California, Santa Barbara",college
ucriver,"University of California, Riverside",college
uconn,University of Connecticut,college
ucla,"University of California, Los Angeles",college
ucirvine,"University of California, Irvine",college
ucdavis,"University of California, Davis",college
uab,University of Alabama at Birmingham,college
txwhart,Wharton County Junior College,college
txwesleyan,Texas Wesleyan University,college
txwesle,Wesley College,college
txverno,Vernon College,college
txtyler,Tyler Junior College,college
txtexar,Texarkana College,college
txtempl,Temple College,college
txtech,Texas Tech University,college
txsjjcn,"San Jacinto College, North Campus",college
txparis,Paris Junior College,college
txpanol,Panola College,college
txodess,Odessa College,college
txnetex,Northeast Texas Community College,college
txnctjc,North Central Texas College,college
txnavar,Navarro College,college
txmerid,Meridian Junior College,college
txmclen,McLennan Community College,college
txlonmo,Lon Morris College,college
txleejc,Lee College,college
txkilgo,Kilgore College,college
txhowar,Howard College,college
txhillj,Hill College,college
txgrays,Grayson County College,college
txgalve,Galveston College,college
txfrank,Frank Phillips College,college
txeastf,Eastfield College,college
txcolli,Collin College,college
txcoast,Coastal Bend College,college
txclare,Clarendon College,college
txchrist,Texas Christian University,college
txburne,Burnetta College,college
txblinn,Blinn College,college
txangjc,Angelina College,college
txangel,Angelo State University,college
txalvin,Alvin Community College,college
tuskegee,Tuskegee University,college
tusculum,Tusculum College,college
tulsa,University of Tulsa,college
tulane,Tulane University,college
tuftsma,Tufts University,college
trumanst,Truman State University,college
troyst,Troy University,college
trnsylvnia,Transylvania University,college
trinitytx,Trinity University,college
trinityct,Trinity College,college
towson,Towson University,college
toledo,University of Toledo,college
tnwesleyan,Tennessee Wesleyan College,college
tntenme,University of Tennessee Health Science Center,college
tntech,Tennessee Technological University,college
tnswten,Southwest Tennessee Community College,college
tnmotlo,Motlow State Community College,college
tnkingc,King College,college
tnjacks,Jackson State Community College,college
tnhiwas,Hiwassee College,college
tncolum,Columbia State Community College,college
tncleve,Cleveland State Community College,college
tnchatt,Chattanooga State Technical Community College,college
thomasmore,Thomas More College,college
thielpa,Thiel College,college
texasam,Texas A&M University,college
texas,University of Texas at Austin,college
tennst,Tennessee State University,college
tennessee,University of Tennessee,college
temple,Temple University,college
tarletonst,Tarleton State University,college
tamukvill,Texas A&M University-Kingsville,college
tamucomm,Texas A&M University-Commerce,college
tampa,University of Tampa,college
syracuse,Syracuse University,college
swtexas,Texas State University,college
swoklahoma,Southwestern Oklahoma State University,college
swmost,Missouri State University,college
swesterntx,Southwestern University,college
swesternks,Southwestern College,college
swarthmore,Swarthmore College,college
sutah,Southern Utah University,college
susquehnna,Susquehanna University,college
sunybuff,"University at Buffalo, State University of New York",college
sulrossst,Sul Ross State University,college
stxavieril,St. Xavier University,college
stthomasmn,University of St. Thomas,college
stthomasfl,St. Thomas University,college
strose,College of St. Rose,college
stpeters,St. Peter's College,college
stonybrook,Stony Brook University,college
stmichaels,St. Michael's College,college
stmarytx,St. Mary's University,college
stmarysmn,St. Mary's University of Minnesota,college
stmarysca,St. Mary's College of California,college
stmartinwa,St. Martin's College,college
stlouis,St. Louis University,college
stleo,St. Leo College,college
stlawrence,St. Lawrence University,college
stjosephs,St. Joseph's University,college
stjosephin,St. Joseph's College,college
stjohns,St. John's University,college
stfranpa,St. Francis University,college
stfranny,St. Francis University,college
stetson,Stetson University,college
sterlingks,Sterling University,college
stedwardtx,St. Edward's University,college
stcloudst,St.Cloud State University,college
stbonny,St. Bonaventure University,college
stanselm,St. Anselm College,college
stanford,Stanford University,college
stambrseia,St. Ambrose University,college
sprngfldma,Springfield College,college
springhill,Spring Hill College,college
southernu,Southern University and A&M College,college
sonomast,Sonoma State University,college
smiss,University of Southern Mississippi,college
smethodist,Southern Methodist University,college
smaine,University of Southern Maine,college
sliprock,Slippery Rock University of Pennsylvania,college
sindiana,University of Southern Indiana,college
sillinois,Southern Illinois University Carbondale,college
silledward,Southern Illinois University Edwardsville,college
siena,Siena College,college
shipnsburg,Shippensburg University of Pennsylvania,college
shepherdwv,Shepherd College,college
shenandoah,Shenandoah University,college
shaw,Shaw University,college
sflorida,University of South Florida,college
sfcc,South Florida Community College,college
sfaustin,Stephen F Austin State University,college
setonhall,Seton Hall University,college
seoklahoma,Southeastern Oklahoma State University,college
semost,Southeast Missouri State University,college
seminolecc,Seminole Community College,college
sela,Southeastern Louisiana University,college
seattle,Seattle University,college
sdcity,San Diego City College,college
sdakotast,South Dakota State University,college
scupsta,University of South Carolina Upstate,college
scstate,South Carolina State University,college
scspart,Spartanburg Methodist College,college
schreiner,Schreiner University,college
scarolina,University of South Carolina,college
sarkansas,Southern Arkansas University,college
santaclara,Santa Clara University,college
sanjosest,San Jose State University,college
sanfranst,San Francisco State University,college
sanfran,University of San Francisco,college
sandiegost,San Diego State University,college
sandiego,University of San Diego,college
samhouston,Sam Houston State University,college
samford,Samford University,college
salemintl,Salem International University,college
salabama,University of South Alabama,college
saginawval,Saginaw Valley State University,college
sacstate,California State University Sacramento,college
rutgers,"Rutgers, the State University of New Jersey",college
rowannj,Rowan University,college
rosehulman,Rose-Hulman Institute of Technology,college
rollins,Rollins College,college
rockhurst,Rockhurst University,college
roanokeva,Roanoke College,college
riponwi,Ripon College,college
riogrande,University of Rio Grande,college
rider,Rider University,college
richmond,University of Richmond,college
rice,Rice University,college
ric,Rhode Island College,college
rhodestn,Rhodes College,college
rhodeisle,University of Rhode Island,college
randmacon,Randolph-Macon College,college
ramaponj,Ramapo College,college
radford,Radford University,college
quinnipiac,Quinnipiac College,college
quincy,Quincy University,college
purdue,Purdue University,college
pugetsound,University of Puget Sound,college
ptparkpa,Point Park University,college
ptlomanaz,Point Loma Nazarene University,college
providence,Providence College,college
princeton,Princeton University,college
presbytrn,Presbyterian College,college
prairview,Prairie View A&M University,college
portlandst,Portland State University,college
portland,University of Portland,college
plymouth,Plymouth State College,college
pittsburgh,University of Pittsburgh,college
pittsbst,Pittsburg State University,college
philly,Philadelphia University,college
pfeiffer,Pfeiffer University,college
pepperdine,Pepperdine University,college
pennst,Pennsylvania State University,college
pbsc,Palm Beach Community College,college
pavolan,Volant College,college
paschuy,Schuylkill College,college
pahahne,Hahnemann University,college
padelaw,Delaware County Community College,college
pacificor,Pacific University,college
pacific,University of the Pacific,college
pacarli,Carlisle Indian Industrial School,college
pabutle,Butler County Community College,college
pabucks,Bucks County Community College,college
pabeave,Community College of Beaver County,college
paalles,"Community College of Allegheny County, South Campus",college
paalleb,"Community College of Allegheny County, Boyce Campus",college
ozarks,University of the Ozarks,college
oxnard,Oxnard College,college
ouachitab,Ouachita Baptist University,college
otterbein,Otterbein College,college
orweste,Western Oregon University,college
ortreas,Treasure Valley Community College,college
ormount,Mount Hood Community College,college
orlinnb,Linn-Benton Community College,college
oregonst,Oregon State University,college
oregon,University of Oregon,college
orbluem,Blue Mountain Community College,college
oralrob,Oral Roberts University,college
olivetnaz,Olivet Nazarene University,college
olivetmi,Olivet College,college
olemiss,University of Mississippi,college
olddom,Old Dominion University,college
okwesle,Oklahoma Wesleyan University,college
okstate,Oklahoma State University,college
oksemin,Seminole State College,college
okneoam,Northeast Oklahoma A&M College,college
oklahoma,University of Oklahoma,college
okeaste,East Oklahoma State College,college
okconno,Connors State College,college
okcity,Oklahoma City University,college
ohwesleyan,Ohio Wesleyan University,college
ohvalley,Ohio Valley College,college
ohsincl,Sinclair Community College,college
ohlakel,Lakeland Community College,college
ohiost,The Ohio State University,college
ohio,Ohio University,college
ohdominican,Ohio Dominican University,college
ohcuyah,Cuyahoga Community College,college
ohcaset,Case Institute of Applied Sciences,college
occidental,Occidental College,college
oberlinoh,Oberlin College,college
nyuroch,University of Rochester,college
nytech,New York Institute of Technology,college
nysuffo,Suffolk County Community College,college
nyrockl,Rockland Community College,college
nyonond,Onondaga Community College,college
nyoneonta,State University of New York at Oneonta,college
nynassa,Nassau Community College,college
nymohaw,Mohawk Valley Community College,college
nymercy,Mercy College,college
nymarit,Maritime College,college
nykbcco,Kingsborough Community College,college
nyeriec,Erie Community College,college
nydutch,Dutchess Community College,college
nycortland,State University of New York at Cortland,college
nwstate,Northwestern State University of Louisiana,college
nwokstate,Northwestern Oklahoma State University,college
nwmost,Northwest Missouri State University,college
nwestern,Northwestern University,college
ntexas,University of North Texas,college
notredame,University of Notre Dame,college
norwichvt,Norwich University,college
northwood,Northwood University,college
norleans,University of New Orleans,college
norfolkst,Norfolk State University,college
nmstate,New Mexico State University,college
nmsouth,College of the Southwest,college
nmnmjco,New Mexico Junior College,college
nmmilin,New Mexico Military Institute,college
nmhighland,New Mexico Highlands University,college
nmexico,University of New Mexico,college
nkentucky,Northern Kentucky University,college
njupsal,Upsala College,college
njmiddl,Middlesex County Community College,college
njmerce,Mercer County Community College,college
njcente,Centenary College,college
njccmor,County College of Morris,college
njcamde,Camden County College,college
njbrook,Brookdale Community College,college
njborde,Bordentown Military Institute,college
niowa,University of Northern Iowa,college
nillinois,Northern Illinois University,college
nicholls,Nicholls State University,college
niagara,Niagara University,college
nflorida,University of North Florida,college
newyorku,New York University,college
newhaven,University of New Haven,college
newhamp,University of New Hampshire,college
newberry,Newberry College,college
nevada,University of Nevada-Reno,college
nepersh,John J Pershing College,college
neillinois,Northeastern Illinois University,college
nebraska,University of Nebraska at Lincoln,college
nebomaha,University of Nebraska at Omaha,college
nebkearney,University of Nebraska at Kearney,college
neastern,Northeastern University,college
ndstate,North Dakota State University,college
ncweave,Weaver College,college
ncstate,North Carolina State University,college
ncstand,St. Andrews Presbyterian College,college
ncruthe,Rutherford College,college
ncpitcc,Pitt Community College,college
ncolorado,University of Northern Colorado,college
ncmarsh,Mars Hill College,college
nclouis,Louisburg College,college
ncbreva,Brevard College,college
ncat,North Carolina A&T State University,college
navy,United States Naval Academy,college
narizona,Northern Arizona University,college
nalabama,University of North Alabama,college
muskingum,Muskingum College,college
murrayst,Murray State University,college
muhlenberg,Muhlenberg College,college
mtvernnaz,Mount Vernon Nazarene University,college
mtunionoh,Mount Union College,college
mtstmarys,Mount St. Mary's University,college
mtolive,Mount Olive College,college
mtennst,Middle Tennessee State University,college
mstupel,Tupelo Military Institute,college
mspearl,Pearl River Community College,college
msnwmcc,Northwest Mississippi Community College,college
msmerid,Meridian Community College,college
msmdcco,Mississippi Delta Community College,college
msitawa,Itawamba Community College,college
msholme,Holmes Community College,college
mshinds,Hinds Community College,college
msgcmac,Gulf Coast Military Academy,college
mseccco,East Central Community College,college
mscopia,Copiah-Lincoln Community College,college
mscollege,Mississippi College,college
mryvilletn,Maryville College,college
mrningside,Morningside College,college
movalley,Missouri Valley College,college
mothree,Three Rivers Community College,college
motarki,Tarkio College,college
mosouthern,Missouri Southern State University,college
morehead,Morehead State University,college
montreatnc,Montreat College,college
montevallo,University of Montevallo,college
monroecc,Monroe Community College,college
monmouth,Monmouth University,college
momaple,Maple Woods Community College,college
molongv,Longview Community College,college
mojeffe,Jefferson College,college
mofores,"St. Louis Community College, Forest Park Campus",college
moeastc,East Central College,college
modrury,Drury University,college
mocrowd,Crowder College,college
moconco,Concordia Seminary-St. Louis,college
mobileal,University of Mobile,college
mntclairst,Montclair State University,college
mnparke,Parker College,college
mnnorma,Normandale Community College,college
mnmorris,"University of Minnesota, Morris",college
mit,Massachusetts Institute of Technology,college
mistcla,St. Clair County Community College,college
missst,Mississippi State University,college
missouri,University of Missouri Columbia,college
mioakla,Oakland Community College,college
minnesota,University of Minnesota,college
mimacom,Macomb Community College,college
millsapsms,Millsaps College,college
millikin,Millikin University,college
milligantn,Milligan College,college
mikalam,Kalamazoo Valley Community College,college
mihenry,Henry Ford Community College,college
migrand,Grand Rapids Community College,college
migocco,Glen Oaks Community College,college
middlbryvt,Middlebury College,college
michiganst,Michigan State University,college
michigan,University of Michigan,college
miamioh,Miami University of Ohio,college
miamifl,University of Miami,college
miamidade,Miami-Dade College,college
mewestb,Westbrook College,college
mestjos,St. Joseph's College,college
messiah,Messiah College,college
mesast,Mesa State College,college
mericke,Ricker College,college
mercyhurst,Mercyhurst College,college
mercer,Mercer University,college
meramec,"St. Louis Community College, Meramec Campus",college
memphis,University of Memphis,college
mdstjoh,St. John's College,college
mdrockh,Rock Hill College,college
mdmontg,"Montgomery College, Rockville Campus",college
mdmdbal,University of Maryland Baltimore,college
mdhager,Hagerstown Community College,college
mdgarre,Garrett Community College,college
mdcolsm,College of Southern Maryland,college
mdcecil,Cecil Community College,college
mdbalti,University of Baltimore,college
mdbalcc,Baltimore City Community College,college
mdaacco,Anne Arundel Community College,college
mcneese,McNeese State University,college
mcmgccc,Mississippi Gulf Coast Community College,college
mcdaniel,McDaniel College,college
mastersca,The Master's College,college
masslowell,University of Massachusetts Lowell,college
maryland,University of Maryland,college
maryhrdbay,University of Mary Hardin-Baylor,college
marshall,Marshall University,college
marquette,Marquette University,college
mariettaoh,Marietta College,college
maquins,Quinsigamond Community College,college
mansfield,Mansfield University of Pennsylvania,college
manscco,North Shore Community College,college
mankatost,"Minnesota State University, Mankato",college
manhattan,Manhattan College,college
mamiddl,Middlesex Community College,college
mamassa,Massasoit Community College,college
malowete,Lowell Technological Institute,college
maine,University of Maine at Orono,college
madeajc,Dean College,college
macollege,Massachusetts College of Liberal Arts,college
macmurryil,MacMurray College,college
lynchbrgva,Lynchburg College,college
lutheria,Luther College,college
lubbchrist,Lubbock Christian University,college
lsu,Louisiana State University,college
loyolano,Loyola University New Orleans,college
loyolamd,Loyola College in Maryland,college
loyolamary,Loyola Marymount University,college
loyolachi,Loyola University Chicago,college
louisville,University of Louisville,college
lorasia,Loras College,college
longwoodva,Longwood University,college
longisland,"Long Island University, Brooklyn Campus",college
longbeach,California State University Long Beach,college
lockhaven,Lock Haven University of Pennsylvania,college
lipscomb,Lipscomb University,college
linfieldor,Linfield College,college
lincolnmem,Lincoln Memorial University,college
lincolnlandcc,Lincoln Land Community College,college
liberty,Liberty University,college
lewisil,Lewis University,college
