id,id_out,year,count
vermont,WSN,1892,2
wisconsin,CLV,1892,2
yale,CHC,1892,2
amherstma,CLV,1893,1
brown,STL,1893,1
bucknell,LOU,1893,2
cornell,BLO,1893,1
denisonoh,LAD,1893,2
emichigan,CHC,1893,1
hobartny,CIN,1893,2
holycross,ATL,1893,1
holycross,CLV,1893,2
holycross,STL,1893,3
illinoisst,CHC,1893,2
johnshpkns,WAS,1893,2
johnshpkns,WSN,1893,2
manhattan,PHI,1893,2
manhattan,SFG,1893,1
mansfield,BLO,1893,1
mansfield,LOU,1893,1
notredame,CHC,1893,2
pennst,PIT,1893,2
pennst,SFG,1893,3
stbonny,BLO,1893,1
stmarysca,LOU,1893,1
unionny,SFG,1893,2
vermont,CHC,1893,2
vermont,PHI,1893,2
villanova,SFG,1893,2
wisconsin,CLV,1893,2
wisconsin,SFG,1893,2
yale,CHC,1893,2
brown,ATL,1894,1
brown,LAD,1894,2
brown,PIT,1894,1
brown,STL,1894,1
denisonoh,LAD,1894,2
emichigan,CHC,1894,1
emichigan,LOU,1894,1
fordham,ATL,1894,2
hobartny,CIN,1894,2
holycross,ATL,1894,3
holycross,CIN,1894,1
holycross,PIT,1894,1
illinoisst,CHC,1894,2
johnshpkns,WAS,1894,2
johnshpkns,WSN,1894,2
manhattan,PHI,1894,2
mansfield,BLO,1894,1
notredame,CHC,1894,2
nwestern,CLV,1894,2
oberlinoh,ATL,1894,2
pennst,SFG,1894,1
stbonny,BLO,1894,1
stmarysca,LOU,1894,1
vermont,CHC,1894,2
wake,WAS,1894,2
wake,WSN,1894,2
washcollmd,PHI,1894,2
yale,CHC,1894,2
yale,SFG,1894,1
brown,ATL,1895,3
brown,STL,1895,1
bucknell,CIN,1895,2
chicago,STL,1895,1
cornellia,CHC,1895,2
denisonoh,LAD,1895,2
fordham,PHI,1895,2
georgetown,LOU,1895,2
hampsydney,LOU,1895,2
hobartny,CIN,1895,2
holycross,ATL,1895,2
holycross,CIN,1895,1
holycross,PIT,1895,1
illinoisst,CHC,1895,2
johnshpkns,ATL,1895,2
johnshpkns,WAS,1895,2
johnshpkns,WSN,1895,2
knoxil,STL,1895,2
manhattan,PHI,1895,2
mansfield,BLO,1895,1
michigan,BLO,1895,1
norwichvt,BLO,1895,2
norwichvt,SFG,1895,2
notredame,PHI,1895,2
pennst,PIT,1895,1
pittsburgh,PIT,1895,2
scarolina,WAS,1895,2
scarolina,WSN,1895,2
stbonny,BLO,1895,1
stmarysca,WAS,1895,2
stmarysca,WSN,1895,2
upenn,SFG,1895,2
upenn,WAS,1895,3
